# Rime user dictionary
#@/db_name	clover
#@/db_type	userdb
#@/rime_version	1.12.0
#@/tick	8116
#@/user_id	0852eae9-5c80-4408-af08-89a82269f461
a 	啊	c=2 d=1.98511 t=8116
a li yun 	阿里云	c=2 d=1.80074 t=8116
an 	按	c=3 d=2.24643 t=8116
an jian 	按键	c=1 d=0.472367 t=8116
an li 	案例	c=1 d=0.995012 t=8116
an li shuo 	按理说	c=1 d=0.767206 t=8116
an quan 	安全	c=2 d=1.39085 t=8116
an zhao 	按照	c=9 d=5.43777 t=8116
an zhuang 	安装	c=9 d=4.55975 t=8116
ba 	吧	c=14 d=5.34958 t=8116
ba 	把	c=50 d=12.3742 t=8116
ba ta 	把它	c=1 d=0.865022 t=8116
ban 	板	c=1 d=0.778801 t=8116
ban 	版	c=2 d=1.91353 t=8116
ban ben 	版本	c=13 d=8.64255 t=8116
ban fa 	办法	c=10 d=5.12077 t=8116
bao chi 	保持	c=2 d=1.47872 t=8116
bao cun 	保存	c=4 d=2.68817 t=8116
bao cuo 	报错	c=1 d=0.951229 t=8116
bao guo 	包裹	c=1 d=1 t=8116
bao han 	包含	c=5 d=3.61093 t=8116
bao kuo 	包括	c=2 d=1.66354 t=8116
bao yue 	包月	c=2 d=1.82533 t=8116
bao zhang 	暴涨	c=1 d=0.955997 t=8116
bao zheng 	保证	c=4 d=2.76712 t=8116
bei 	被	c=8 d=3.5359 t=8116
bei lv 	倍率	c=1 d=0.985112 t=8116
bei shu 	倍数	c=1 d=0.99005 t=8116
ben 	本	c=1 d=0.767206 t=8116
ben di 	本地	c=6 d=3.79022 t=8116
ben lai 	本来	c=1 d=0.543351 t=8116
ben shen 	本身	c=1 d=0.970446 t=8116
ben wei 	本位	c=2 d=1.95072 t=8116
ben zhi 	本质	c=1 d=0.860708 t=8116
beng kui 	崩溃	c=1 d=0.960789 t=8116
bi 	币	c=4 d=3.10532 t=8116
bi 	比	c=2 d=1.95581 t=8116
bi ji 	笔记	c=1 d=1 t=8116
bi ji ben 	笔记本	c=1 d=0.744532 t=8116
bi jiao 	比较	c=11 d=6.14873 t=8116
bi li bi li 	哔哩哔哩	c=4 d=3.70927 t=8116
bi lv 	比率	c=2 d=1.66753 t=8116
bi mian 	避免	c=1 d=0.97531 t=8116
bi ru 	比如	c=10 d=4.08932 t=8116
bi tian 	必填	c=1 d=0.937067 t=8116
bi xu 	必须	c=3 d=1.95265 t=8116
bian 	变	c=6 d=3.71349 t=8116
bian cheng 	变成	c=1 d=0.99005 t=8116
bian kuang 	边框	c=1 d=0.440432 t=8116
bian liang 	变量	c=25 d=6.84495 t=8116
bian ma 	编码	c=2 d=1.79777 t=8116
bian ma qi 	编码器	c=1 d=0.918512 t=8116
bian wei 	变为	c=1 d=0.941765 t=8116
bian xiao 	变小	c=1 d=0.810584 t=8116
bian xie 	编写	c=11 d=4.77664 t=8116
bian xing 	变性	c=1 d=0.882497 t=8116
bian yi 	编译	c=6 d=3.83886 t=8116
biao 	表	c=2 d=1.78295 t=8116
biao ge 	表格	c=23 d=10.2299 t=8116
biao ji 	标记	c=1 d=0.97531 t=8116
biao jie gou 	表结构	c=1 d=1 t=8116
biao ming 	标明	c=1 d=0.740818 t=8116
biao qian 	标签	c=2 d=1.91393 t=8116
biao shi 	表示	c=2 d=1.71948 t=8116
biao tou 	表头	c=1 d=0.946485 t=8116
biao zhi 	标志	c=1 d=0.918512 t=8116
biao zhun 	标准	c=3 d=1.73892 t=8116
bing 	并	c=10 d=3.36973 t=8116
bing bu hui 	并不会	c=1 d=0.951229 t=8116
bing fa 	并发	c=2 d=1.95551 t=8116
bing fei 	并非	c=1 d=1 t=8116
bing jia 	并加	c=1 d=0.794534 t=8116
bing mei 	并没	c=1 d=0.99005 t=8116
bing mei you 	并没有	c=1 d=0.965605 t=8116
bu 	不	c=22 d=7.91588 t=8116
bu bian 	不变	c=1 d=0.873716 t=8116
bu cang 	补仓	c=1 d=0.960789 t=8116
bu chong 	补充	c=5 d=3.90755 t=8116
bu dai 	不带	c=1 d=0.748264 t=8116
bu dai biao 	不代表	c=2 d=1.7974 t=8116
bu dao 	不到	c=2 d=1.442 t=8116
bu duan 	不断	c=3 d=1.78543 t=8116
bu dui 	不对	c=6 d=3.04126 t=8116
bu dui cheng 	不对称	c=1 d=0.970446 t=8116
